step,robot_x,robot_y,target_estimate_x,target_estimate_y,target_error,goal_error,beacon_position_rmse,beacon_yaw_rmse,cost,spread,sigma_min,excitation_norm2,retriggered,estimate_ready,sim_time,cmd_vx,cmd_vy,beacon_estimate_x,beacon_estimate_y,beacon_estimate_yaw
59,1.19379402,-0.70691333,1.20374000,-0.74805730,0.00421446,0.04353131,0.00343044,0.00070654,122.77537980,110.82241981,160.80980840,0.00065388,0,1,6.00000000,-0.00070847,-0.02714626,-2.19798241,-1.39722561,0.74929346
60,1.19373729,-0.70911647,1.20358002,-0.74855379,0.00386110,0.04136042,0.00333163,0.00092250,124.39037224,111.64733566,161.57772055,0.00060361,0,1,6.08000000,-0.00109734,-0.02642087,-2.19855492,-1.39699809,0.74907750
61,1.19365884,-0.71124755,1.20322841,-0.74857182,0.00353020,0.03926784,0.00339452,0.00083355,126.50525374,112.44759540,162.34652955,0.00055720,0,1,6.16000000,-0.00163382,-0.02516428,-2.19839044,-1.39701134,0.74916645
62,1.19354101,-0.71329085,1.20283913,-0.74850946,0.00320661,0.03727305,0.00345597,0.00074681,128.38716310,113.22424775,163.09070931,0.00051436,0,1,6.24000000,-0.00211571,-0.02387281,-2.19821583,-1.39704019,0.74925319
63,1.19334100,-0.71570912,1.20303945,-0.74826393,0.00350032,0.03493145,0.00347397,0.00072471,128.81618460,113.97874804,163.80624974,0.00047481,0,1,6.32000000,-0.00174251,-0.02186776,-2.19817367,-1.39704483,0.74927529
64,1.19323496,-0.71702921,1.20270426,-0.74809409,0.00330841,0.03365767,0.00348631,0.00068563,130.05144676,114.71102432,164.50019277,0.00043831,0,1,6.40000000,-0.00207922,-0.02122761,-2.19804844,-1.39711109,0.74931437
65,1.19303512,-0.71916733,1.20259019,-0.74788512,0.00334393,0.03160954,0.00352516,0.00060698,130.96235322,115.42290076,165.17456297,0.00040461,0,1,6.48000000,-0.00199587,-0.01951528,-2.19778605,-1.39725679,0.74939302
66,1.19291503,-0.72034510,1.20255086,-0.74809210,0.00318543,0.03048950,0.00353230,0.00062205,131.77267739,116.11435317,165.81378457,0.00037350,0,1,6.56000000,-0.00187959,-0.01941122,-2.19788896,-1.39716793,0.74937795
67,1.19272428,-0.72228872,1.20255336,-0.74757365,0.00352233,0.02865050,0.00353721,0.00058784,135.42728314,116.78704640,166.44677264,0.00034479,0,1,6.64000000,-0.00159240,-0.01747468,-2.19771912,-1.39729639,0.74941216
68,1.19262759,-0.72334495,1.20297013,-0.74772267,0.00374271,0.02765582,0.00350518,0.00058777,136.72845449,117.44097325,167.04642709,0.00031828,0,1,6.72000000,-0.00088795,-0.01736152,-2.19755117,-1.39749211,0.74941223
69,1.19253965,-0.72473658,1.20243281,-0.74766752,0.00337031,0.02634193,0.00349784,0.00063457,138.00731381,118.07731816,167.62965580,0.00029381,0,1,6.80000000,-0.00130869,-0.01655895,-2.19784140,-1.39724768,0.74936543
70,1.19244505,-0.72608056,1.20204515,-0.74818119,0.00273692,0.02508419,0.00341969,0.00073515,139.44889151,118.69678074,168.18268927,0.00027122,0,1,6.88000000,-0.00151428,-0.01645487,-2.19808564,-1.39716636,0.74926485
71,1.19232884,-0.72739945,1.20202019,-0.74887902,0.00231036,0.02386696,0.00333618,0.00075505,143.22917146,119.30002718,168.72148080,0.00025037,0,1,6.96000000,-0.00123367,-0.01656131,-2.19794766,-1.39736979,0.74924495
72,1.19222341,-0.72872180,1.20241093,-0.74841862,0.00288328,0.02265474,0.00335957,0.00076377,146.50482496,119.88775228,169.25821012,0.00023112,0,1,7.04000000,-0.00044453,-0.01523385,-2.19805526,-1.39726053,0.74923623
73,1.19216891,-0.72997237,1.20199634,-0.74820947,0.00268168,0.02150423,0.00344223,0.00086168,148.64491600,120.46058108,169.77109829,0.00021335,0,1,7.12000000,-0.00066252,-0.01425501,-2.19854757,-1.39687920,0.74913832
74,1.19212114,-0.73113626,1.20187058,-0.74829272,0.00253256,0.02044302,0.00340418,0.00093054,149.33118412,121.01904105,170.26704820,0.00019694,0,1,7.20000000,-0.00052381,-0.01369287,-2.19868318,-1.39686082,0.74906946
75,1.19207591,-0.73224518,1.20164667,-0.74863354,0.00213980,0.01944286,0.00335949,0.00090873,151.38162033,121.56365785,170.75305094,0.00018180,0,1,7.28000000,-0.00048976,-0.01346847,-2.19855658,-1.39696640,0.74909127
76,1.19203591,-0.73332804,1.20143999,-0.74873657,0.00191568,0.01847650,0.00339792,0.00098035,151.64172951,122.09496037,171.22015933,0.00016783,0,1,7.36000000,-0.00042711,-0.01295364,-2.19880479,-1.39681923,0.74901965
77,1.19200024,-0.73437669,1.20167477,-0.74883936,0.00203763,0.01755232,0.00343052,0.00093547,153.36993312,122.61344103,171.68230037,0.00015492,0,1,7.44000000,0.00017250,-0.01244416,-2.19873197,-1.39681244,0.74906453
78,1.19199965,-0.73538445,1.20166198,-0.74842699,0.00228834,0.01666193,0.00355831,0.00097937,156.09266019,123.11959234,172.13122718,0.00014301,0,1,7.52000000,0.00044359,-0.01133113,-2.19899717,-1.39658593,0.74902063
79,1.19202863,-0.73631765,1.20167924,-0.74889034,0.00201276,0.01583507,0.00337427,0.00102295,159.18191412,123.61384406,172.55834435,0.00013202,0,1,7.60000000,0.00072434,-0.01132500,-2.19888226,-1.39681623,0.74897705
80,1.19207984,-0.73722380,1.20127290,-0.74879228,0.00175467,0.01503197,0.00350188,0.00101097,161.10810037,124.09664126,172.98522547,0.00012187,0,1,7.68000000,0.00047762,-0.01064524,-2.19900530,-1.39664236,0.74898903
81,1.19212397,-0.73809174,1.20083274,-0.74869431,0.00154864,0.01427721,0.00377669,0.00112024,163.27259251,124.56836722,173.38995412,0.00011250,0,1,7.76000000,0.00020493,-0.00998006,-2.19951730,-1.39625428,0.74887976
82,1.19214691,-0.73890610,1.20144997,-0.74845895,0.00211595,0.01359212,0.00366982,0.00098885,165.20588615,125.02935827,173.80440477,0.00010385,0,1,7.84000000,0.00123134,-0.00918396,-2.19914056,-1.39643224,0.74901115
83,1.19222078,-0.73965993,1.20127393,-0.74857510,0.00191134,0.01293961,0.00383746,0.00118729,169.40844201,125.47999838,174.17720071,0.00009586,0,1,7.92000000,0.00124825,-0.00885301,-2.19970024,-1.39617426,0.74881271
